age,relationship
25,Own-child
38,Husband
28,Husband
44,Husband
18,Own-child
34,Not-in-family
29,Unmarried
63,Husband
24,Unmarried
55,Husband
65,Husband
36,Husband
26,Not-in-family
58,Husband
48,Husband
43,Husband
20,Own-child
43,Wife
37,Unmarried
40,Husband
34,Husband
34,Own-child
72,Not-in-family
25,Not-in-family
25,Husband
45,Husband
22,Own-child
23,Unmarried
54,Husband
32,Not-in-family
46,Husband
56,Unmarried
24,Not-in-family
23,Husband
26,Unmarried
65,Husband
36,Husband
22,Not-in-family
17,Not-in-family
20,Own-child
65,Husband
44,Husband
36,Husband
29,Husband
20,Own-child
28,Wife
39,Husband
54,Husband
52,Not-in-family
56,Not-in-family
18,Own-child
39,Own-child
21,Own-child
22,Not-in-family
38,Not-in-family
21,Own-child
63,Husband
34,Husband
42,Husband
33,Husband
30,Not-in-family
39,Not-in-family
26,Not-in-family
33,Own-child
47,Not-in-family
41,Not-in-family
41,Husband
19,Own-child
46,Not-in-family
43,Husband
55,Husband
46,Husband
30,Husband
21,Not-in-family
46,Husband
17,Own-child
41,Husband
69,Husband
50,Husband
20,Not-in-family
45,Husband
23,Not-in-family
24,Not-in-family
44,Husband
31,Husband
43,Not-in-family
20,Own-child
55,Husband
24,Not-in-family
41,Wife
59,Not-in-family
49,Not-in-family
33,Wife
59,Not-in-family
34,Not-in-family
20,Own-child
25,Own-child
49,Husband
59,Husband
20,Not-in-family
51,Wife
33,Unmarried
22,Own-child
58,Not-in-family
52,Unmarried
36,Not-in-family
41,Husband
28,Own-child
19,Own-child
18,Not-in-family
18,Own-child
28,Husband
29,Husband
20,Own-child
40,Husband
26,Unmarried
46,Husband
23,Not-in-family
44,Unmarried
43,Unmarried
31,Unmarried
18,Own-child
19,Own-child
41,Not-in-family
41,Unmarried
69,Not-in-family
48,Wife
28,Own-child
27,Husband
41,Husband
41,Husband
24,Unmarried
20,Not-in-family
42,Husband
57,Husband
30,Not-in-family
36,Husband
49,Husband
33,Wife
23,Husband
46,Husband
18,Own-child
40,Husband
43,Husband
34,Own-child
47,Not-in-family
44,Unmarried
33,Husband
55,Husband
19,Not-in-family
28,Not-in-family
27,Wife
50,Husband
22,Unmarried
40,Husband
25,Own-child
26,Not-in-family
22,Not-in-family
42,Unmarried
38,Not-in-family
55,Husband
32,Husband
22,Husband
29,Own-child
46,Husband
31,Husband
58,Husband
42,Husband
18,Unmarried
58,Not-in-family
54,Husband
34,Not-in-family
26,Not-in-family
61,Husband
48,Unmarried
36,Husband
24,Husband
40,Husband
33,Husband
37,Husband
34,Own-child
56,Husband
28,Own-child
37,Not-in-family
44,Unmarried
64,Husband
54,Not-in-family
23,Not-in-family
34,Not-in-family
22,Not-in-family
33,Husband
39,Not-in-family
47,Not-in-family
79,Not-in-family
26,Unmarried
31,Unmarried
44,Not-in-family
42,Wife
19,Not-in-family
27,Husband
51,Husband
28,Husband
57,Not-in-family
45,Unmarried
50,Husband
34,Husband
45,Husband
73,Husband
34,Wife
31,Husband
19,Not-in-family
25,Own-child
38,Unmarried
39,Husband
23,Own-child
49,Husband
33,Not-in-family
21,Other-relative
31,Not-in-family
23,Not-in-family
34,Husband
25,Not-in-family
39,Unmarried
52,Husband
63,Husband
41,Husband
46,Husband
53,Husband
25,Not-in-family
77,Husband
18,Own-child
38,Husband
55,Unmarried
34,Husband
80,Husband
34,Unmarried
52,Husband
42,Unmarried
26,Not-in-family
31,Husband
25,Own-child
55,Husband
19,Own-child
62,Husband
22,Own-child
39,Wife
35,Husband
28,Own-child
47,Husband
44,Husband
21,Own-child
35,Not-in-family
24,Husband
42,Not-in-family
28,Own-child
21,Other-relative
62,Not-in-family
39,Not-in-family
30,Not-in-family
72,Not-in-family
50,Wife
28,Not-in-family
29,Not-in-family
26,Own-child
27,Not-in-family
29,Husband
61,Husband
29,Husband
21,Own-child
31,Wife
25,Husband
58,Husband
64,Wife
46,Not-in-family
53,Husband
19,Own-child
42,Not-in-family
18,Own-child
58,Husband
20,Not-in-family
35,Husband
32,Husband
23,Not-in-family
31,Unmarried
33,Husband
41,Not-in-family
22,Own-child
46,Husband
61,Husband
30,Not-in-family
42,Husband
63,Husband
26,Husband
42,Unmarried
23,Husband
25,Unmarried
30,Husband
23,Own-child
34,Not-in-family
30,Other-relative
39,Husband
30,Other-relative
38,Unmarried
26,Own-child
20,Own-child
37,Unmarried
33,Own-child
24,Own-child
42,Husband
51,Husband
56,Husband
22,Own-child
52,Husband
44,Unmarried
34,Wife
51,Not-in-family
20,Not-in-family
19,Not-in-family
37,Husband
68,Husband
22,Not-in-family
56,Husband
37,Husband
52,Husband
26,Own-child
33,Husband
45,Unmarried
18,Own-child
43,Husband
64,Husband
18,Own-child
20,Own-child
57,Husband
41,Unmarried
34,Husband
19,Unmarried
44,Unmarried
56,Unmarried
36,Husband
48,Unmarried
29,Husband
33,Not-in-family
31,Husband
39,Husband
66,Husband
27,Not-in-family
39,Unmarried
59,Husband
26,Own-child
31,Unmarried
45,Unmarried
23,Own-child
36,Unmarried
34,Wife
32,Husband
37,Husband
33,Not-in-family
50,Husband
32,Not-in-family
35,Own-child
37,Husband
44,Not-in-family
57,Other-relative
29,Own-child
55,Husband
43,Husband
43,Husband
45,Husband
33,Wife
26,Unmarried
23,Husband
41,Not-in-family
24,Husband
47,Husband
34,Own-child
40,Husband
28,Wife
24,Own-child
73,Husband
23,Other-relative
43,Husband
26,Not-in-family
58,Wife
52,Unmarried
29,Husband
47,Husband
49,Unmarried
40,Unmarried
62,Wife
49,Husband
50,Other-relative
31,Own-child
48,Not-in-family
24,Unmarried
41,Own-child
37,Own-child
45,Husband
63,Husband
36,Husband
45,Husband
41,Not-in-family
26,Other-relative
17,Own-child
27,Husband
43,Husband
35,Own-child
38,Unmarried
26,Not-in-family
28,Own-child
38,Wife
36,Unmarried
33,Wife
19,Own-child
22,Own-child
42,Husband
50,Husband
30,Husband
37,Other-relative
54,Husband
52,Not-in-family
65,Husband
33,Not-in-family
25,Other-relative
24,Not-in-family
26,Unmarried
39,Not-in-family
59,Not-in-family
29,Unmarried
47,Own-child
23,Own-child
64,Husband
21,Own-child
32,Wife
26,Not-in-family
19,Own-child
62,Husband
32,Husband
75,Not-in-family
45,Husband
31,Husband
32,Husband
24,Husband
25,Own-child
41,Husband
18,Own-child
44,Husband
40,Husband
27,Not-in-family
23,Own-child
21,Not-in-family
37,Husband
65,Husband
43,Husband
45,Not-in-family
24,Not-in-family
24,Not-in-family
19,Own-child
37,Husband
24,Own-child
34,Husband
50,Wife
36,Husband
39,Husband
44,Husband
45,Husband
32,Own-child
47,Husband
50,Husband
32,Husband
19,Own-child
19,Own-child
28,Not-in-family
28,Other-relative
39,Not-in-family
21,Not-in-family
73,Not-in-family
39,Husband
25,Not-in-family
31,Wife
51,Not-in-family
39,Wife
31,Own-child
21,Own-child
46,Not-in-family
73,Not-in-family
41,Not-in-family
20,Own-child
27,Not-in-family
24,Not-in-family
20,Husband
39,Own-child
27,Not-in-family
33,Husband
33,Husband
36,Husband
55,Husband
19,Own-child
35,Not-in-family
34,Other-relative
62,Not-in-family
33,Husband
39,Husband
36,Husband
41,Unmarried
39,Husband
38,Wife
18,Own-child
61,Husband
20,Own-child
35,Husband
27,Own-child
66,Unmarried
21,Other-relative
20,Own-child
34,Own-child
63,Not-in-family
20,Unmarried
31,Not-in-family
41,Husband
64,Husband
32,Not-in-family
30,Husband
36,Husband
22,Own-child
53,Husband
50,Not-in-family
36,Husband
41,Husband
55,Not-in-family
38,Husband
28,Not-in-family
24,Own-child
60,Other-relative
54,Husband
27,Husband
30,Wife
54,Not-in-family
44,Husband
52,Husband
18,Own-child
55,Husband
35,Husband
37,Not-in-family
22,Own-child
45,Husband
38,Husband
48,Husband
35,Husband
21,Other-relative
37,Husband
18,Own-child
26,Own-child
48,Husband
51,Not-in-family
52,Husband
32,Husband
39,Husband
51,Husband
54,Husband
21,Not-in-family
43,Unmarried
32,Own-child
31,Husband
73,Husband
26,Other-relative
35,Not-in-family
73,Husband
25,Not-in-family
58,Husband
32,Own-child
28,Husband
41,Not-in-family
53,Husband
49,Unmarried
55,Husband
29,Wife
28,Husband
44,Husband
41,Husband
26,Husband
23,Husband
37,Wife
23,Own-child
33,Unmarried
44,Own-child
21,Own-child
36,Husband
44,Husband
23,Unmarried
26,Own-child
32,Not-in-family
31,Husband
50,Unmarried
18,Own-child
49,Husband
59,Not-in-family
38,Unmarried
50,Husband
51,Husband
22,Own-child
54,Wife
37,Not-in-family
31,Unmarried
67,Husband
43,Other-relative
21,Other-relative
30,Not-in-family
32,Husband
36,Own-child
33,Not-in-family
37,Husband
29,Husband
18,Own-child
26,Not-in-family
51,Husband
39,Husband
18,Not-in-family
52,Husband
31,Husband
45,Husband
38,Husband
21,Not-in-family
33,Not-in-family
39,Unmarried
31,Husband
43,Husband
64,Husband
33,Husband
49,Husband
41,Husband
55,Not-in-family
52,Not-in-family
42,Not-in-family
24,Own-child
42,Not-in-family
41,Husband
35,Husband
71,Husband
54,Not-in-family
24,Other-relative
59,Unmarried
30,Unmarried
57,Wife
58,Husband
32,Unmarried
22,Own-child
20,Unmarried
60,Husband
51,Unmarried
26,Own-child
33,Husband
19,Unmarried
50,Wife
32,Husband
51,Husband
18,Own-child
35,Husband
22,Own-child
46,Not-in-family
37,Unmarried
45,Wife
63,Husband
53,Other-relative
24,Own-child
65,Husband
43,Not-in-family
47,Husband
41,Unmarried
27,Not-in-family
35,Husband
19,Own-child
47,Not-in-family
25,Unmarried
59,Husband
28,Unmarried
17,Own-child
21,Own-child
31,Unmarried
49,Not-in-family
48,Husband
60,Not-in-family
33,Not-in-family
40,Husband
42,Husband
34,Husband
38,Own-child
58,Husband
20,Not-in-family
52,Other-relative
22,Husband
24,Husband
39,Unmarried
41,Husband
37,Husband
56,Husband
21,Not-in-family
29,Unmarried
45,Not-in-family
44,Husband
54,Husband
24,Not-in-family
40,Husband
43,Own-child
20,Not-in-family
41,Not-in-family
32,Not-in-family
31,Wife
26,Not-in-family
50,Husband
62,Husband
24,Husband
58,Not-in-family
44,Husband
44,Not-in-family
37,Husband
65,Not-in-family
33,Husband
34,Not-in-family
56,Husband
35,Husband
33,Own-child
35,Husband
47,Not-in-family
35,Husband
56,Unmarried
29,Own-child
53,Husband
42,Unmarried
20,Other-relative
24,Not-in-family
33,Husband
42,Husband
38,Husband
32,Own-child
20,Own-child
32,Husband
28,Husband
51,Husband
41,Own-child
37,Unmarried
23,Wife
40,Husband
47,Husband
46,Husband
24,Not-in-family
40,Unmarried
30,Own-child
41,Not-in-family
37,Wife
49,Husband
41,Wife
52,Husband
23,Not-in-family
34,Unmarried
25,Not-in-family
44,Husband
31,Unmarried
53,Unmarried
62,Husband
35,Not-in-family
30,Not-in-family
48,Wife
36,Not-in-family
32,Not-in-family
22,Own-child
17,Own-child
19,Not-in-family
26,Not-in-family
20,Own-child
56,Husband
45,Unmarried
23,Own-child
31,Not-in-family
30,Unmarried
42,Husband
27,Husband
37,Husband
31,Not-in-family
33,Not-in-family
64,Husband
32,Not-in-family
62,Husband
37,Husband
25,Husband
49,Husband
36,Husband
67,Husband
54,Husband
45,Not-in-family
30,Not-in-family
39,Other-relative
57,Not-in-family
57,Not-in-family
23,Husband
49,Other-relative
46,Husband
41,Not-in-family
44,Husband
25,Own-child
34,Husband
24,Own-child
32,Not-in-family
27,Husband
67,Husband
36,Husband
40,Not-in-family
24,Husband
46,Husband
44,Unmarried
23,Husband
46,Not-in-family
31,Not-in-family
21,Own-child
61,Husband
71,Husband
42,Husband
27,Husband
21,Not-in-family
21,Not-in-family
28,Not-in-family
27,Own-child
32,Not-in-family
47,Not-in-family
22,Not-in-family
56,Husband
20,Other-relative
30,Not-in-family
22,Own-child
28,Husband
50,Husband
66,Wife
38,Not-in-family
62,Husband
36,Not-in-family
47,Husband
25,Not-in-family
26,Husband
37,Husband
70,Husband
52,Husband
70,Husband
19,Own-child
23,Own-child
37,Wife
37,Unmarried
45,Unmarried
29,Husband
56,Husband
50,Husband
20,Other-relative
26,Not-in-family
41,Husband
21,Own-child
48,Husband
22,Not-in-family
37,Husband
47,Husband
61,Unmarried
47,Husband
37,Husband
46,Unmarried
42,Husband
41,Unmarried
33,Husband
24,Not-in-family
27,Not-in-family
40,Husband
56,Husband
35,Husband
24,Not-in-family
73,Wife
36,Not-in-family
31,Husband
50,Husband
36,Not-in-family
37,Husband
26,Not-in-family
20,Own-child
58,Husband
45,Husband
33,Own-child
31,Not-in-family
44,Husband
19,Own-child
54,Husband
31,Husband
27,Husband
36,Husband
47,Not-in-family
35,Husband
42,Husband
45,Not-in-family
70,Husband
27,Own-child
36,Husband
23,Not-in-family
25,Not-in-family
45,Husband
24,Own-child
90,Husband
50,Husband
37,Husband
31,Not-in-family
17,Own-child
26,Not-in-family
41,Husband
50,Husband
45,Husband
54,Husband
54,Husband
38,Own-child
22,Other-relative
43,Husband
19,Own-child
30,Husband
31,Unmarried
42,Not-in-family
48,Husband
56,Husband
21,Unmarried
45,Husband
37,Husband
38,Husband
34,Husband
29,Own-child
24,Husband
79,Not-in-family
35,Not-in-family
39,Husband
73,Husband
57,Own-child
35,Husband
60,Husband
19,Own-child
54,Husband
53,Husband
23,Other-relative
57,Husband
27,Own-child
25,Own-child
38,Husband
48,Husband
24,Unmarried
67,Husband
20,Own-child
38,Husband
54,Husband
20,Own-child
57,Not-in-family
34,Not-in-family
34,Unmarried
80,Not-in-family
40,Wife
19,Other-relative
35,Husband
21,Unmarried
59,Husband
53,Husband
41,Wife
59,Husband
21,Own-child
52,Not-in-family
48,Husband
24,Own-child
49,Husband
19,Own-child
50,Not-in-family
39,Husband
25,Wife
66,Other-relative
30,Not-in-family
49,Husband
40,Husband
38,Husband
25,Husband
51,Not-in-family
23,Own-child
60,Husband
44,Not-in-family
53,Unmarried
66,Husband
18,Own-child
44,Unmarried
38,Husband
30,Husband
36,Not-in-family
38,Husband
31,Not-in-family
26,Not-in-family
23,Not-in-family
58,Wife
44,Husband
59,Husband
36,Husband
42,Not-in-family
17,Not-in-family
59,Unmarried
22,Not-in-family
40,Husband
36,Not-in-family
19,Own-child
49,Wife
18,Own-child
38,Unmarried
48,Husband
53,Husband
33,Husband
34,Unmarried
41,Husband
20,Own-child
58,Not-in-family
52,Unmarried
45,Husband
37,Unmarried
48,Husband
40,Husband
29,Husband
33,Husband
51,Husband
48,Husband
36,Wife
31,Unmarried
41,Husband
29,Not-in-family
20,Own-child
53,Husband
37,Unmarried
28,Wife
27,Not-in-family
57,Not-in-family
23,Own-child
25,Husband
63,Husband
65,Husband
77,Not-in-family
32,Not-in-family
40,Husband
67,Not-in-family
35,Wife
24,Own-child
53,Husband
37,Not-in-family
44,Own-child
25,Unmarried
17,Own-child
47,Husband
62,Husband
39,Not-in-family
18,Own-child
32,Other-relative
25,Wife
30,Husband
47,Husband
40,Own-child
38,Husband
41,Husband
21,Own-child
32,Husband
54,Not-in-family
